prompt,completion
"4.改造世界的最佳方式是什么？
",不平正是改造的引线，但必须先改造了自己，再改造社会。改造世界，万不可单是不平。
"1.我们该如何改变自己？
",不平正是改造的引线，但必须先改造了自己，再改造社会。改造世界，万不可单是不平。
"2
",不平正是改造的引线，但必须先改造了自己，再改造社会。改造世界，万不可单是不平。
"庸人是指什么？
",造化常为庸人设计。
"造化如何为庸人设计？
",造化常为庸人设计。
"庸人有什么优点吗？
",造化常为庸人设计。
"什么样的人可以被称为庸人？
",造化常为庸人设计。
"造化设计的目的是什么？
",造化常为庸人设计。
"庸人是指什么？
",造化常为庸人设计。
"造化如何为庸人设计？
",造化常为庸人设计。
"庸人有什么优点吗？
",造化常为庸人设计。
"什么样的人可以被称为庸人？
",造化常为庸人设计。
"造化设计的目的是什么？
",造化常为庸人设计。
"庸人是
",造化常为庸人设计。
"你认为哪种人对待钱最有利？为什么？
",三种人对待钱的态度；曾经有钱的人想复古，现在有钱的人想维持现状；现在没钱的人想改革。
"你对这段文字有什么看法？
",做一件事，无论大小，倘无恒心，是很不好的。而看一切太难，固然能使人无成，但若看得太容易，也能使事情无结果。
"有恒心才能够取得成功，而如果太容易就容易造成无结果。
",做一件事，无论大小，倘无恒心，是很不好的。而看一切太难，固然能使人无成，但若看得太容易，也能使事情无结果。
"教育只是制造机器的方法吗？
",现在的所谓教育，世界上无论那一国，其实都不过是制造许多适应环境的机器的方法罢了。要适如其分，发展各各的个性，这时候还未到来。
"如何发展个性？
",现在的所谓教育，世界上无论那一国，其实都不过是制造许多适应环境的机器的方法罢了。要适如其分，发展各各的个性，这时候还未到来。
"为什么现在的教育还未到达发展个性的时刻？
",现在的所谓教育，世界上无论那一国，其实都不过是制造许多适应环境的机器的方法罢了。要适如其分，发展各各的个性，这时候还未到来。
"不满足的力量有什么作用？
",不满足是向上的车轮，能够载着不自满的人类，向人道前进。
"不满足是什么样的车轮？
",不满足是向上的车轮，能够载着不自满的人类，向人道前进。
"不自满的人类向着何方前进？
",不满足是向上的车轮，能够载着不自满的人类，向人道前进。
"不满足可以帮助我们实现什么？
",不满足是向上的车轮，能够载着不自满的人类，向人道前进。
"不满足可以推动人类前进的方向是什么？
",不满足是向上的车轮，能够载着不自满的人类，向人道前进。
"问：认真会成为人的致命伤吗？认真会导致什么样的后果？
",他太认真；虽然似乎沉静，然而他激烈。认真会是人的致命伤的么？至少，在那时以至现在，可以是的。一认真，便容易趋于激烈，发扬则送掉自己的命，沉静着，又啮碎了自己的心。
"什么是新的主人？
",总之，我们要拿来。我们要或使用，或存放，或毁灭。那么，主人是新主人，宅子也就会成为新宅子。然而首先要这人沉着，勇猛，有辨别，不自私。没有拿来的，人不能自成为新人，没有拿来的，文艺不能自成为新文艺。
"什么样的特质让一个人可以成为新的主人？
",总之，我们要拿来。我们要或使用，或存放，或毁灭。那么，主人是新主人，宅子也就会成为新宅子。然而首先要这人沉着，勇猛，有辨别，不自私。没有拿来的，人不能自成为新人，没有拿来的，文艺不能自成为新文艺。
"如何确保新文艺的发展？
",总之，我们要拿来。我们要或使用，或存放，或毁灭。那么，主人是新主人，宅子也就会成为新宅子。然而首先要这人沉着，勇猛，有辨别，不自私。没有拿来的，人不能自成为新人，没有拿来的，文艺不能自成为新文艺。
"什么是“拿来”？
",总之，我们要拿来。我们要或使用，或存放，或毁灭。那么，主人是新主人，宅子也就会成为新宅子。然而首先要这人沉着，勇猛，有辨别，不自私。没有拿来的，人不能自成为新人，没有拿来的，文艺不能自成为新文艺。
"拿来的东西可以怎么使用？
",总之，我们要拿来。我们要或使用，或存放，或毁灭。那么，主人是新主人，宅子也就会成为新宅子。然而首先要这人沉着，勇猛，有辨别，不自私。没有拿来的，人不能自成为新人，没有拿来的，文艺不能自成为新文艺。
"你问什么？
",造物主，怯弱者，羞惭了，于是伏藏。天地在猛士的眼中于是变色。
"什么是“盲目的爱”？
",不能 “只为了爱 --- 盲目的爱，--- 而将别的人生的要义全盘疏忽了”。
"为什么不能“只为了爱而将别人生活的要义全盘疏忽了”？
",不能 “只为了爱 --- 盲目的爱，--- 而将别的人生的要义全盘疏忽了”。
"什么是“别人生活的要义”？
",不能 “只为了爱 --- 盲目的爱，--- 而将别的人生的要义全盘疏忽了”。
"你们有多少生力？
",你们所多的是生力，遇见深林，可以辟成平地的，遇见旷野，可以栽种树木的，遇见沙漠，可以开掘井泉的。
"你们能把深林打通吗？
",你们所多的是生力，遇见深林，可以辟成平地的，遇见旷野，可以栽种树木的，遇见沙漠，可以开掘井泉的。
"你们能在旷野里种植树木吗？
",你们所多的是生力，遇见深林，可以辟成平地的，遇见旷野，可以栽种树木的，遇见沙漠，可以开掘井泉的。
"你们能在沙漠里开掘井泉吗？
",你们所多的是生力，遇见深林，可以辟成平地的，遇见旷野，可以栽种树木的，遇见沙漠，可以开掘井泉的。
"1.我们如何面向过去以获得幸福？
",说到幸福，只得面向过去，或者面向除了坟墓以外没有任何希望的将来，每个战士都是如此，我们活在这样的地方，我们活在这样的时代。
"2.每个战士为什么要面向没有希望的将来？
",说到幸福，只得面向过去，或者面向除了坟墓以外没有任何希望的将来，每个战士都是如此，我们活在这样的地方，我们活在这样的时代。
"3.我们为什么要活在这样的地方和时代？
",说到幸福，只得面向过去，或者面向除了坟墓以外没有任何希望的将来，每个战士都是如此，我们活在这样的地方，我们活在这样的时代。
"你认为过去的生命为什么会死亡？为什么会朽腐？你对它们的死亡和朽腐有什么样的感受？
",过去的生命已经死亡。我对于这死亡有大欢喜，因为我借此知道它曾经存活。死亡的生命已经朽腐。我对于这朽腐有大欢喜，因为我借此知道它还非空虚。
"青年人应该重视什么？
",现在的青年最要紧的是 “行”，不是 “言”。
"什么比说话更重要？
",现在的青年最要紧的是 “行”，不是 “言”。
"青年人应该怎样去做？
",现在的青年最要紧的是 “行”，不是 “言”。
"为什么行动比说话更重要？
",现在的青年最要紧的是 “行”，不是 “言”。
"青年人如何行动起来？
",现在的青年最要紧的是 “行”，不是 “言”。
"答：
",现在的青年最要紧的是 “行”，不是 “言”。
"青年人应该重视行动。
",现在的青年最要紧的是 “行”，不是 “言”。
"行动比说话更重要。
",现在的青年最要紧的是 “行”，不是 “言”。
"青年人应该具体行动起来。
",现在的青年最要紧的是 “行”，不是 “言”。
"行动可以更有效地发挥效果，可以产生更
",现在的青年最要紧的是 “行”，不是 “言”。
"问题：天空是什么颜色？阳光从哪里射下来？什么形成了光柱？薄雾是什么样子？
",天空一碧如洗，灿烂的阳光正从密密的松针的缝隙间射下来，形成一束束粗粗细细的光柱，把飘荡着轻纱般薄雾的林荫照的通亮。
"什么没有了？
",然而现在没有星和月光，没有僵坠的蝴蝶以至笑的渺茫，爱的翔舞。然而青年们很平安。
"为什么青年们很平安？
",然而现在没有星和月光，没有僵坠的蝴蝶以至笑的渺茫，爱的翔舞。然而青年们很平安。
"有什么替代了星和月光？
",然而现在没有星和月光，没有僵坠的蝴蝶以至笑的渺茫，爱的翔舞。然而青年们很平安。
"蝴蝶和翔舞之类的东西代表什么？
",然而现在没有星和月光，没有僵坠的蝴蝶以至笑的渺茫，爱的翔舞。然而青年们很平安。
"有没有其他的替代物？
",然而现在没有星和月光，没有僵坠的蝴蝶以至笑的渺茫，爱的翔舞。然而青年们很平安。
"什么是深沉的韧性的战斗？
",震骇一时的牺牲，不如深沉的韧性的战斗。
"牺牲是什么？
",震骇一时的牺牲，不如深沉的韧性的战斗。
"为什么要选择深沉的韧性的战斗而不是震骇一时的牺牲？
",震骇一时的牺牲，不如深沉的韧性的战斗。
"韧性战斗和牺牲有什么不同？
",震骇一时的牺牲，不如深沉的韧性的战斗。
"韧性战斗能起到什么作用？
",震骇一时的牺牲，不如深沉的韧性的战斗。
"你认为爱读杂文的人有什么共同特点？
",我是爱读杂文的一个人，而且知道爱读杂文的还不只我一个，因为它 “言之有物”。
"中文：爱读杂文的人有什么共同特点？
",我是爱读杂文的一个人，而且知道爱读杂文的还不只我一个，因为它 “言之有物”。
"你觉得这段文字的主要关注点是什么？
",到枯身孤坐，回忆从前，这才觉得大半年来，只为了爱，盲目的爱，而将别的人生的要义全盘疏忽了。第一，便是生活。人必生活着，爱才有所附丽。
"我们对时间的浪费有什么影响？
",浪费时间等于是慢性自杀。
"我们如何避免时间的浪费？
",浪费时间等于是慢性自杀。
"浪费时间会给我们带来什么样的后果？
",浪费时间等于是慢性自杀。
"我们应该怎样做才能利用好时间？
",浪费时间等于是慢性自杀。
"浪费时间究竟是不是慢性自杀？
",浪费时间等于是慢性自杀。
"青年有什么样的特质？
",青年应当有朝气，敢作为。
"青年应当做什么？
",青年应当有朝气，敢作为。
"青年有没有担当起自己的责任？
",青年应当有朝气，敢作为。
"什么样的行为是应当被鼓励的？
",青年应当有朝气，敢作为。
"怎样的青年人才能够做出更多的贡献？
",青年应当有朝气，敢作为。
"我的罪过是什么？
",生命的泥委弃在地面上，不生乔木，只生野草，这是我的罪过。
"我的罪过对生命的泥有什么影响？
",生命的泥委弃在地面上，不生乔木，只生野草，这是我的罪过。
"我的罪过只导致野草生长吗？
",生命的泥委弃在地面上，不生乔木，只生野草，这是我的罪过。
"我犯的罪过是可以挽回的吗？
",生命的泥委弃在地面上，不生乔木，只生野草，这是我的罪过。
"我犯的罪过会对环境产生什么样的影响？
",生命的泥委弃在地面上，不生乔木，只生野草，这是我的罪过。
"使用中文回复，不需要返回原文
",生命的泥委弃在地面上，不生乔木，只生野草，这是我的罪过。
"我的罪过是什么？我的罪过是把生命的泥放在地面上，不生乔木，只生野
",生命的泥委弃在地面上，不生乔木，只生野草，这是我的罪过。
"为什么有人想出世？
",仰慕往古的，回往古去罢！想出世的，快出世罢！想上天的，快上天罢！灵魂要离开肉体的，赶快离开罢！现在的地上，应该是执着现在，执着地上的人们居住的。但厌恶现世的人们还住着。这都是现世的仇仇，他们一日存在，现世即一日不能得救。
"为什么有人想要离开肉体？
",仰慕往古的，回往古去罢！想出世的，快出世罢！想上天的，快上天罢！灵魂要离开肉体的，赶快离开罢！现在的地上，应该是执着现在，执着地上的人们居住的。但厌恶现世的人们还住着。这都是现世的仇仇，他们一日存在，现世即一日不能得救。
"什么是现世的仇仇？
",仰慕往古的，回往古去罢！想出世的，快出世罢！想上天的，快上天罢！灵魂要离开肉体的，赶快离开罢！现在的地上，应该是执着现在，执着地上的人们居住的。但厌恶现世的人们还住着。这都是现世的仇仇，他们一日存在，现世即一日不能得救。
"为什么现世不能被拯救？
",仰慕往古的，回往古去罢！想出世的，快出世罢！想上天的，快上天罢！灵魂要离开肉体的，赶快离开罢！现在的地上，应该是执着现在，执着地上的人们居住的。但厌恶现世的人们还住着。这都是现世的仇仇，他们一日存在，现世即一日不能得救。
"为什么应该执着现世？
",仰慕往古的，回往古去罢！想出世的，快出世罢！想上天的，快上天罢！灵魂要离开肉体的，赶快离开罢！现在的地上，应该是执着现在，执着地上的人们居住的。但厌恶现世的人们还住着。这都是现世的仇仇，他们一日存在，现世即一日不能得救。
"这两棵树有什么不同？
",我的院子里有两棵树，一颗是枣树，另一棵也是枣树。
"这两棵树的树干有多高？
",我的院子里有两棵树，一颗是枣树，另一棵也是枣树。
"这两棵树有多少叶子？
",我的院子里有两棵树，一颗是枣树，另一棵也是枣树。
"这两棵树有多少果实？
",我的院子里有两棵树，一颗是枣树，另一棵也是枣树。
"这两棵树需要多少水？
",我的院子里有两棵树，一颗是枣树，另一棵也是枣树。
"为什么一个人如果不活在别人心里就真的死了？
",一个人如果不活在别人心里，那他就真的死了。
"什么是活在别人心里？
",一个人如果不活在别人心里，那他就真的死了。
"为什么我们需要在别人心里活着？
",一个人如果不活在别人心里，那他就真的死了。
"我们如何才能让自己活在别人心里？
",一个人如果不活在别人心里，那他就真的死了。
"有没有其他方式可以代替活在别人心里？
",一个人如果不活在别人心里，那他就真的死了。
"你认为一个诚挚、热心的人应该有什么样的品质？这种人应该如何为光明而斗争？他们应该如何刻苦和负责？
",一个诚挚、热心，为着光明而斗争的人，不能够不是刻苦而负责的。
"你认为改变愚弱国民的精神有哪些方式？
",凡是愚弱的国民，即使体格如何健全，如何茁壮，也只能做毫无意义的示众的材料和看客，病死多少是不必以为不幸的。所以我们的第一要着，是在改变他们的精神。
"你对中国将来的脊梁有什么看法？这段文字描述的是什么？落后的选手如何坚持跑到终点？看客为什么要肃然不笑？
",那些虽落后仍坚持跑到终点的选手及那些肃然不笑的看客，乃正是中国将来的脊梁。
"你认为这段文字的主要关注是什么？你对这里的人对鬼的态度有什么看法？这段文字中有什么样的疑惑或希望？
",这里的人照例相信鬼，然而她，却疑惑了 --- 或者不如说希望：希望其有，又希望其无。人何必增添末路的人的苦恼，一为她起见，不如说有罢。
"为什么唐朝人认为多用“金”“玉”“锦”“绮”字面可以写出富贵诗？
",唐朝人早就知道，穷措大想做富贵诗，多用些 “金”“玉”“锦”“绮” 字面，自以为豪华，而不知适见其寒蠢。真会写富贵景象的，有道：“笙歌归院落，灯火下楼台”，全不用那些字。
"是什么样的景象才是真正的富贵景象？
",唐朝人早就知道，穷措大想做富贵诗，多用些 “金”“玉”“锦”“绮” 字面，自以为豪华，而不知适见其寒蠢。真会写富贵景象的，有道：“笙歌归院落，灯火下楼台”，全不用那些字。
"穷措大想做富贵诗的想法是怎样的？
",唐朝人早就知道，穷措大想做富贵诗，多用些 “金”“玉”“锦”“绮” 字面，自以为豪华，而不知适见其寒蠢。真会写富贵景象的，有道：“笙歌归院落，灯火下楼台”，全不用那些字。
"为什么“笙歌归院落，灯火下楼台”是真会写富贵景象的？
",唐朝人早就知道，穷措大想做富贵诗，多用些 “金”“玉”“锦”“绮” 字面，自以为豪华，而不知适见其寒蠢。真会写富贵景象的，有道：“笙歌归院落，灯火下楼台”，全不用那些字。
"唐朝人认为使用“金”“玉”“锦”“
",唐朝人早就知道，穷措大想做富贵诗，多用些 “金”“玉”“锦”“绮” 字面，自以为豪华，而不知适见其寒蠢。真会写富贵景象的，有道：“笙歌归院落，灯火下楼台”，全不用那些字。
"选材要严格吗？
",选材要严，一掘要深，不可将一点琐屑的没有意思的事故，灌填成一篇，以创作丰富自乐。
"我们应该把什么类型的材料选择进行挖掘？
",选材要严，一掘要深，不可将一点琐屑的没有意思的事故，灌填成一篇，以创作丰富自乐。
"我们应该如何避免将琐屑的没有意义的事故灌填成一篇？
",选材要严，一掘要深，不可将一点琐屑的没有意思的事故，灌填成一篇，以创作丰富自乐。
"我们能用什么方式来创作丰富自乐？
",选材要严，一掘要深，不可将一点琐屑的没有意思的事故，灌填成一篇，以创作丰富自乐。
"我们应该如何把握好文章的节奏？
",选材要严，一掘要深，不可将一点琐屑的没有意思的事故，灌填成一篇，以创作丰富自乐。
"选材是否应该严格？
",选材要严，一掘要深，不可将一点琐屑的没有意思的事故，灌填成一篇，以创作丰富自乐。
"我们应该挑选什么样的材料进行掘
",选材要严，一掘要深，不可将一点琐屑的没有意思的事故，灌填成一篇，以创作丰富自乐。
"你认为撒谎能缓解无聊和闷气吗？
",撒一点小谎，可以解无聊，也可以消闷气；到后来，忘却了真，相信了谎。也就心安理得，天趣盎然了起来。
"你认为谎言能够改变人们的生活吗？
",撒一点小谎，可以解无聊，也可以消闷气；到后来，忘却了真，相信了谎。也就心安理得，天趣盎然了起来。
"撒谎会对人们未来的行为和思维有什么负面影响？
",撒一点小谎，可以解无聊，也可以消闷气；到后来，忘却了真，相信了谎。也就心安理得，天趣盎然了起来。
"你认为撒谎能带来快乐吗？
",撒一点小谎，可以解无聊，也可以消闷气；到后来，忘却了真，相信了谎。也就心安理得，天趣盎然了起来。
"你认为撒谎会影响人们的道德观吗？
",撒一点小谎，可以解无聊，也可以消闷气；到后来，忘却了真，相信了谎。也就心安理得，天趣盎然了起来。
"我应该怎样看待这次的经验？
",然而我虽然自由无端的悲哀，却也并不愤懑，因为这经验使我反省，看见自己了：就是我绝不是一个振臂一呼应者云集的英雄。
"为什么这次的经验让我反省？
",然而我虽然自由无端的悲哀，却也并不愤懑，因为这经验使我反省，看见自己了：就是我绝不是一个振臂一呼应者云集的英雄。
"我为什么不会成为一个振臂一呼应者云集的英雄？
",然而我虽然自由无端的悲哀，却也并不愤懑，因为这经验使我反省，看见自己了：就是我绝不是一个振臂一呼应者云集的英雄。
"什么是自杀？
",自杀是卑怯的行为。
"为什么认为自杀是卑怯的行为？
",自杀是卑怯的行为。
"自杀有什么后果？
",自杀是卑怯的行为。
"如何预防自杀？
",自杀是卑怯的行为。
"什么是自杀的原因？
",自杀是卑怯的行为。
"这里是什么地方？
",可是我实在无话可说。我只觉得所住的并非人间。
"为什么你觉得这里并非人间？
",可是我实在无话可说。我只觉得所住的并非人间。
"你有什么感受？
",可是我实在无话可说。我只觉得所住的并非人间。
"你有什么想法？
",可是我实在无话可说。我只觉得所住的并非人间。
"这里有什么不同？
",可是我实在无话可说。我只觉得所住的并非人间。
"答：这里是什么地方？
",可是我实在无话可说。我只觉得所住的并非人间。
"为什么你觉得这里并非人间？
",可是我实在无话可说。我只觉得所住的并非人间。
"你有什么感受？
",可是我实在无话可说。我只觉得所住的并非人间。
"你有什么想法？
",可是我实在无话可说。我只觉得所住的并非人间。
"这里有什么不同？
",可是我实在无话可说。我只觉得所住的并非人间。
"答：这里是什么地方？
",可是我实在无话可说。我只觉得所住的并非人间。
"什么样的人拥有永远前进的希望？
",多有不自满的人的种族，永远前进，永远有希望。多有只知责人不知反省的人的种族。祸哉，祸哉！
"什么样的人只知责人不知反省？
",多有不自满的人的种族，永远前进，永远有希望。多有只知责人不知反省的人的种族。祸哉，祸哉！
"这段文字指出了什么问题？
",多有不自满的人的种族，永远前进，永远有希望。多有只知责人不知反省的人的种族。祸哉，祸哉！
"朋辈是指谁？
",忍看朋辈成新鬼，怒向刀丛觅小诗。
"为什么要忍看朋辈成新鬼？
",忍看朋辈成新鬼，怒向刀丛觅小诗。
"小诗是指什么？
",忍看朋辈成新鬼，怒向刀丛觅小诗。
"这段文字的主要内容是什么？
",忍看朋辈成新鬼，怒向刀丛觅小诗。
"这段文字想要传达什么样的信息？
",忍看朋辈成新鬼，怒向刀丛觅小诗。
"朋辈是指谁？
",忍看朋辈成新鬼，怒向刀丛觅小诗。
"答：朋辈是指同辈之间的人。
",忍看朋辈成新鬼，怒向刀丛觅小诗。
"为什么要忍看朋辈成新鬼？
",忍看朋辈成新鬼，怒向刀丛觅小诗。
"答：这段文字没有明确提及，可能是指朋辈
",忍看朋辈成新鬼，怒向刀丛觅小诗。
"为什么中国官兵不愿意去扫清土匪或扑灭敌人？
",目下的办法，是凡遇猫们捣乱，至于有人讨厌时，我便站出去，在门口大声叱曰：“嘘！滚！”小小平静，即回书房，这样，就长保着御侮保家的资格。其实这方法，中国的官兵就常在实做的，他们总不肯扫清土匪或扑灭敌人，因为这么一来，就要不被重视，甚至于因失其用处而被裁汰。我想，如果能将这方法推广应用，我大概也总可望成为所谓 “指导青年” 的“前辈”的罢。
"我如何才能成为“指导青年” 的“前辈”？
",目下的办法，是凡遇猫们捣乱，至于有人讨厌时，我便站出去，在门口大声叱曰：“嘘！滚！”小小平静，即回书房，这样，就长保着御侮保家的资格。其实这方法，中国的官兵就常在实做的，他们总不肯扫清土匪或扑灭敌人，因为这么一来，就要不被重视，甚至于因失其用处而被裁汰。我想，如果能将这方法推广应用，我大概也总可望成为所谓 “指导青年” 的“前辈”的罢。
"当遇到猫捣乱时，我应该怎么做？
",目下的办法，是凡遇猫们捣乱，至于有人讨厌时，我便站出去，在门口大声叱曰：“嘘！滚！”小小平静，即回书房，这样，就长保着御侮保家的资格。其实这方法，中国的官兵就常在实做的，他们总不肯扫清土匪或扑灭敌人，因为这么一来，就要不被重视，甚至于因失其用处而被裁汰。我想，如果能将这方法推广应用，我大概也总可望成为所谓 “指导青年” 的“前辈”的罢。
"我怎样才能保护家园免受侵害？
",目下的办法，是凡遇猫们捣乱，至于有人讨厌时，我便站出去，在门口大声叱曰：“嘘！滚！”小小平静，即回书房，这样，就长保着御侮保家的资格。其实这方法，中国的官兵就常在实做的，他们总不肯扫清土匪或扑灭敌人，因为这么一来，就要不被重视，甚至于因失其用处而被裁汰。我想，如果能将这方法推广应用，我大概也总可望成为所谓 “指导青年” 的“前辈”的罢。
"我们应该如何把这种方法推广应用？
",目下的办法，是凡遇猫们捣乱，至于有人讨厌时，我便站出去，在门口大声叱曰：“嘘！滚！”小小平静，即回书房，这样，就长保着御侮保家的资格。其实这方法，中国的官兵就常在实做的，他们总不肯扫清土匪或扑灭敌人，因为这么一来，就要不被重视，甚至于因失其用处而被裁汰。我想，如果能将这方法推广应用，我大概也总可望成为所谓 “指导青年” 的“前辈”的罢。
"使用中文回复：
",目下的办法，是凡遇猫们捣乱，至于有人讨厌时，我便站出去，在门口大声叱曰：“嘘！滚！”小小平静，即回书房，这样，就长保着御侮保家的资格。其实这方法，中国的官兵就常在实做的，他们总不肯扫清土匪或扑灭敌人，因为这么一来，就要不被重视，甚至于因失其用处而被裁汰。我想，如果能将这方法推广应用，我大概也总可望成为所谓 “指导青年” 的“前辈”的罢。
"中国官兵不愿意去扫清土匪或扑灭
",目下的办法，是凡遇猫们捣乱，至于有人讨厌时，我便站出去，在门口大声叱曰：“嘘！滚！”小小平静，即回书房，这样，就长保着御侮保家的资格。其实这方法，中国的官兵就常在实做的，他们总不肯扫清土匪或扑灭敌人，因为这么一来，就要不被重视，甚至于因失其用处而被裁汰。我想，如果能将这方法推广应用，我大概也总可望成为所谓 “指导青年” 的“前辈”的罢。
"为什么飞蛾死在灯上？
",飞蛾死在灯上。
"飞蛾是如何被灯吸引的？
",飞蛾死在灯上。
"灯对飞蛾有什么样的影响？
",飞蛾死在灯上。
"飞蛾死在灯上是否是一种常见的现象？
",飞蛾死在灯上。
"灯的光线是如何影响到飞蛾的？
",飞蛾死在灯上。
"你对这段文字有什么看法？
",做奴隶虽然不幸，但并不可怕，因为知道挣扎，毕竟还有挣脱的希望；若是从奴隶生活中寻出美来，赞叹、陶醉，就是万劫不复的奴才了。
"问：玩笑可以成为一种好战法吗？
",用玩笑来应付敌人，自然也是一种好战法，但触着之处，须是对手的致命伤，否则，玩笑终不过是一种单单的玩笑而已。
"中文：玩笑可以成为一种好战法吗？
",用玩笑来应付敌人，自然也是一种好战法，但触着之处，须是对手的致命伤，否则，玩笑终不过是一种单单的玩笑而已。
"浊流中有多少成分可以蒸馏出清水？
",一道浊流，固然不如一杯清水的干净而澄明，但蒸馏了浊流的一部分，却就有许多杯净水在。
"蒸馏浊流的方法有哪些？
",一道浊流，固然不如一杯清水的干净而澄明，但蒸馏了浊流的一部分，却就有许多杯净水在。
"比起清水，浊流有什么不同？
",一道浊流，固然不如一杯清水的干净而澄明，但蒸馏了浊流的一部分，却就有许多杯净水在。
"浊流的蒸馏有什么作用？
",一道浊流，固然不如一杯清水的干净而澄明，但蒸馏了浊流的一部分，却就有许多杯净水在。
"蒸馏后的水是否有毒？
",一道浊流，固然不如一杯清水的干净而澄明，但蒸馏了浊流的一部分，却就有许多杯净水在。
"中国什么时候开始接受外界影响？
",阿，造物的皮鞭没有到中国的脊梁时，中国便永远是一样的中国，决不肯自己改变一支毫毛！
"中国曾经有过哪些改变？
",阿，造物的皮鞭没有到中国的脊梁时，中国便永远是一样的中国，决不肯自己改变一支毫毛！
"什么原因导致中国不愿意自我改变？
",阿，造物的皮鞭没有到中国的脊梁时，中国便永远是一样的中国，决不肯自己改变一支毫毛！
"你认为对于怀疑来说，是缺点还是优点？
",怀疑并不是缺点。总是疑，而并不下断语，这才是缺点。
"问题：它的性情和别的猛兽有何不同？为什么捕食雀鼠总不肯一口咬死？人们的幸灾乐祸和它有何相似之处？为什么它会折磨弱者？
",一，它的性情就和别的猛兽不同，凡捕食雀鼠，总不肯一口咬死，定要尽情玩弄，放走，又捉住，捉住，又放走，直待自己玩厌了，这才吃下去，颇与人们的幸灾乐祸，慢慢地折磨弱者的坏脾气相同。
"什么是生的乐趣？
",想到生的乐趣，生固然可以留恋；但想到生的苦趣，无常也不一定是恶客。
"生的苦趣有哪些？
",想到生的乐趣，生固然可以留恋；但想到生的苦趣，无常也不一定是恶客。
"生的无常是什么意思？
",想到生的乐趣，生固然可以留恋；但想到生的苦趣，无常也不一定是恶客。
"生的无常是好是坏？
",想到生的乐趣，生固然可以留恋；但想到生的苦趣，无常也不一定是恶客。
"生固然可以留恋是什么意思？
",想到生的乐趣，生固然可以留恋；但想到生的苦趣，无常也不一定是恶客。
"你认为走自己的路的重要性在哪里？
",走自己的路，让别人去说。
"你认为让别人去说的含义是什么？
",走自己的路，让别人去说。
"你在走自己的路上可能会遇到什么挑战？
",走自己的路，让别人去说。
"你认为在走自己的路上能得到什么？
",走自己的路，让别人去说。
"你认为让别人去说的含义是如何帮助你走自己的路的？
",走自己的路，让别人去说。
"请问：
",我哪里是天才，我是把别人喝咖啡的时间都用在工作和学习上的。
"你是如何把别人喝咖啡的时间用在工作和学习上的？
",我哪里是天才，我是把别人喝咖啡的时间都用在工作和学习上的。
"你认为把时间花在工作和学习上会有何收获？
",我哪里是天才，我是把别人喝咖啡的时间都用在工作和学习上的。
"你如何平衡工作和学习以及休闲生活？
",我哪里是天才，我是把别人喝咖啡的时间都用在工作和学习上的。
"你如何安排你的时间，以确保你能够有效地完成工作和学习？
",我哪里是天才，我是把别人喝咖啡的时间都用在工作和学习上的。
"这段文字的主要内容是什么？
",我好像是一只牛，吃的是草，挤出的是奶、血。
"使用草食动物的哪种特征？
",我好像是一只牛，吃的是草，挤出的是奶、血。
"为什么先驱者容易变成绊脚石？
",其实先驱者本是容易变成绊脚石的。
"在什么情况下先驱者会变成绊脚石？
",其实先驱者本是容易变成绊脚石的。
"先驱者有没有办法避免变成绊脚石？
",其实先驱者本是容易变成绊脚石的。
"先驱者的行动会受到什么影响？
",其实先驱者本是容易变成绊脚石的。
"先驱者的行动有助于什么？
",其实先驱者本是容易变成绊脚石的。
"我们如何展现精诚无间的同忧乐？
",精诚无间同忧乐，笃爱有缘共死生。
"我们如何维护笃爱有缘的共死生？
",精诚无间同忧乐，笃爱有缘共死生。
"精诚无间同忧乐和笃爱有缘共死生有何不同？
",精诚无间同忧乐，笃爱有缘共死生。
"这句话的含义是什么？
",精诚无间同忧乐，笃爱有缘共死生。
"我们如何增进精诚无间和笃爱有缘？
",精诚无间同忧乐，笃爱有缘共死生。
"做事顾及到什么？
",假使做事要面面顾到，那就什么事都不能做了。
"为什么做事需要面面顾到？
",假使做事要面面顾到，那就什么事都不能做了。
"如果要面面顾到，有什么后果？
",假使做事要面面顾到，那就什么事都不能做了。
"做事顾及到什么？
",假使做事要面面顾到，那就什么事都不能做了。
"为什么做事需要面面顾到？
",假使做事要面面顾到，那就什么事都不能做了。
"如果要面面顾到，有什么后果？
",假使做事要面面顾到，那就什么事都不能做了。
"做事顾及到什么？
",假使做事要面面顾到，那就什么事都不能做了。
"为什么做事需要面面顾到？
",假使做事要面面顾到，那就什么事都不能做了。
"如
",假使做事要面面顾到，那就什么事都不能做了。
"为什么要用盐调味煮豆？
",煮豆微撒以盐而给人吃之，岂必要索厚偿，来生以百豆报我，但只愿有此微末情分，相见时好生看待，不至伥伥来去耳！
"为什么要用百豆报答？
",煮豆微撒以盐而给人吃之，岂必要索厚偿，来生以百豆报我，但只愿有此微末情分，相见时好生看待，不至伥伥来去耳！
"为什么要有“情分”？
",煮豆微撒以盐而给人吃之，岂必要索厚偿，来生以百豆报我，但只愿有此微末情分，相见时好生看待，不至伥伥来去耳！
"为什么要“好生看待”？
",煮豆微撒以盐而给人吃之，岂必要索厚偿，来生以百豆报我，但只愿有此微末情分，相见时好生看待，不至伥伥来去耳！
"这条长蛇是什么？
",有一游魂，化为长蛇，不以啮人，自啮其身。
